date,portfolio_value,benchmark_value,position,signal,prediction,actual,cash,position_size,pnl,cumulative_return,benchmark_return,price,consecutive_losses
2022-09-12,87275.14,95519.9,1,1,0.012293642928483155,-0.004726440474196125,0.0,87187.86,0.0,-0.1272486170927665,-0.04480098647828199,8118.16,1.0
2022-09-13,86943.47,95899.13,0,0,0.002447272676963294,-0.001804821609763474,86943.47,0.0,-157.36,-0.130565258917069,-0.04100873993401503,8150.39,2.0
2022-09-14,86943.47,95255.99,0,0,0.001294041630441587,0.009673000458266356,86943.47,0.0,0.0,-0.130565258917069,-0.04744014533611335,8095.73,2.0
2022-09-15,86943.47,95289.75,0,0,0.0003075339353202039,0.010324006618427806,86943.47,0.0,0.0,-0.130565258917069,-0.04710245537080002,8098.6,2.0
2022-09-16,86943.47,96988.32,0,0,-0.0030083041456014175,-0.007169754554189223,86943.47,0.0,0.0,-0.130565258917069,-0.03011676777755303,8242.96,2.0
2022-09-19,86943.47,95068.43,0,0,0.0012228707763614944,0.00800268323805442,86943.47,0.0,0.0,-0.130565258917069,-0.04931567775670322,8079.79,2.0
2022-09-20,86943.47,95726.05,0,0,0.0014096554371820199,0.005538565921963334,86943.47,0.0,0.0,-0.130565258917069,-0.042739548083756525,8135.68,2.0
2022-09-21,86943.47,96177.4,0,0,-0.00031036314415927357,0.006428889508737434,86943.47,0.0,0.0,-0.130565258917069,-0.03822603342542352,8174.04,2.0
2022-09-22,86943.47,96273.53,0,0,6.727674702338262e-05,0.005960492336422485,86943.47,0.0,0.0,-0.130565258917069,-0.03726473481336449,8182.21,2.0
2022-09-23,86943.47,96292.94,0,0,0.002357567203715689,0.01740743365600106,86943.47,0.0,0.0,-0.130565258917069,-0.0370705924988116,8183.86,2.0
2022-09-26,86943.47,95829.23,0,0,0.0018512683410543272,0.05047977457041308,86943.47,0.0,0.0,-0.130565258917069,-0.04170765226640564,8144.45,2.0
2022-09-27,86943.47,96256.23,0,0,0.004061110002601797,0.04681850297161394,86943.47,0.0,0.0,-0.130565258917069,-0.03743769796632987,8180.74,2.0
2022-09-28,86943.47,96795.71,1,1,0.006795605020818522,0.04235655356593693,0.0,86856.53,0.0,-0.130565258917069,-0.032042894861935345,8226.59,2.0
2022-09-29,90998.44,96847.36,1,1,0.006260712993879277,0.04668581383990733,0.0,90911.5,4054.97,-0.09001558071739142,-0.031526358643215936,8230.98,2.0
2022-09-30,94636.73,97969.15,1,1,0.01469248488278518,0.040020080900085686,0.0,94549.78,3638.29,-0.05363272548855937,-0.020308462722322437,8326.32,2.0
2022-10-03,95229.7,100666.67,0,0,0.002108810273487448,0.008199327222701447,95229.7,0.0,775.24,-0.04770296433895477,0.006666729419738113,8555.58,0.0
2022-10-04,95229.7,100762.8,1,1,0.006619022830449581,0.013048022186542108,0.0,95134.47,0.0,-0.04770296433895477,0.007628028031797003,8563.75,0.0
2022-10-05,95924.34,100895.64,0,0,0.001303825600309391,0.009311909915288963,95924.34,0.0,885.88,-0.04075662844528197,0.008956432111374306,8575.04,0.0
2022-10-06,95924.34,101368.76,0,0,-0.0018670541442892142,-0.003998723194335696,95924.34,0.0,0.0,-0.04075662844528197,0.013687621486024145,8615.25,0.0
2022-10-07,95924.34,101889.89,-1,-1,-0.015554761496470145,-0.011300831221981888,0.0,95828.41,0.0,-0.04075662844528197,0.018898871856659536,8659.54,0.0
2022-10-10,96864.43,101492.07,-1,-1,-0.009400920521453552,-0.009810184181512582,0.0,96768.51,940.09,-0.031355684649584874,0.01492071933845713,8625.73,0.0
2022-10-11,97936.02,102077.56,-1,-1,-0.009152514334724799,-0.011073726095010117,0.0,97840.1,1071.59,-0.020639805216260864,0.020775580897337494,8675.49,0.0
2022-10-12,99714.69,101835.17,-1,-1,-0.012245932705266372,-0.01817931828134156,0.0,99618.76,1778.67,-0.0028531429137712986,0.018351743515646668,8654.89,0.0
2022-10-13,101213.59,100963.42,-1,-1,-0.00648054590888861,-0.015046382621666798,0.0,101117.66,1498.9,0.012135877085144893,0.009634165282176982,8580.8,0.0
2022-10-14,102882.29,100738.45,-1,-1,-0.007945390110303104,-0.01650260229300804,0.0,102786.37,1668.7,0.028822922919302947,0.007384467673539766,8561.68,0.0
2022-10-17,104994.02,100496.42,0,0,-0.0025475168714948525,-0.022500588331024973,104994.02,0.0,2312.75,0.049940225844602684,0.0049641601521134724,8541.11,0.0
2022-10-18,104994.02,100947.18,0,0,-0.0014495116751465967,-0.03919029491504078,104994.02,0.0,0.0,0.049940225844602684,0.00947179171000549,8579.42,0.0
2022-10-19,104994.02,99983.88,1,1,0.006788714595891231,-0.035783255173549966,0.0,104889.03,0.0,0.049940225844602684,-0.00016119695208341,8497.55,0.0
2022-10-20,102387.85,99444.28,-1,-1,-0.006642867569882827,-0.022868799021260933,0.0,102285.46,-2398.69,0.023878521057108155,-0.005557176676565869,8451.69,1.0
2022-10-21,104557.92,99076.0,0,0,-0.0033375679076266184,-0.02324001619877447,104557.92,0.0,2377.12,0.04557917519658309,-0.00923999755263023,8420.39,0.0
2022-10-24,104557.92,98235.19,0,0,0.0024153299455244646,-0.010539075067104386,104557.92,0.0,0.0,0.04557917519658309,-0.01764812470290344,8348.93,0.0
2022-10-25,104557.92,96991.03,0,0,-0.0037185489254670857,0.009462356199481103,104557.92,0.0,0.0,0.04557917519658309,-0.030089705515524257,8243.19,0.0
2022-10-26,104557.92,96406.13,1,1,0.006058798143641711,0.018144915225276614,0.0,104453.36,0.0,0.04557917519658309,-0.03593868397396378,8193.48,0.0
2022-10-27,106162.35,97170.11,0,0,0.004995236497114238,0.017378647947970727,106162.35,0.0,1815.26,0.061623491478813665,-0.0282988897412848,8258.41,0.0
2022-10-28,106162.35,96773.47,0,0,0.004242390925353038,0.04133403042056227,106162.35,0.0,0.0,0.061623491478813665,-0.03226527605860494,8224.7,0.0
2022-10-31,106162.35,97199.88,1,1,0.00882828928910439,0.02848707289969421,0.0,106056.19,0.0,0.061623491478813665,-0.028001204858970303,8260.94,0.0
2022-11-01,109620.28,97908.79,1,1,0.006043967062494318,0.032604711585722645,0.0,109514.12,3457.93,0.096202805303356,-0.020912068827568582,8321.19,0.0
2022-11-02,113021.96,98155.41,1,1,0.010088101210345183,0.03106153689396618,0.0,112915.8,3401.68,0.13021957352630736,-0.018445873122702613,8342.15,0.0
2022-11-03,115263.3,98858.8,0,0,0.00265966692170516,0.021811655179226674,115263.3,0.0,2462.88,0.15263296712998678,-0.01141203823544638,8401.93,0.0
2022-11-04,115263.3,100773.51,1,1,0.021359552953916033,0.003637038714905172,0.0,115148.03,0.0,0.15263296712998678,0.007735100459823152,8564.66,0.0
2022-11-07,116599.19,99968.82,1,1,0.010887289498603538,0.01160156162645487,0.0,116483.93,1335.9,0.16599193718842797,-0.0003118043233727803,8496.27,0.0
2022-11-08,116537.14,101101.08,0,0,-0.0014893655680915355,0.001458248472505197,116537.14,0.0,169.86,0.16537139142803528,0.011010810785370414,8592.5,0.0
2022-11-09,116537.14,101204.27,0,0,-0.0017226842097552036,-0.004863235312924763,116537.14,0.0,0.0,0.16537139142803528,0.0120427066027213,8601.27,0.0
2022-11-10,116537.14,101015.07,0,0,-0.00290566117916195,0.004183949336007631,116537.14,0.0,0.0,0.16537139142803528,0.010150701500896685,8585.19,0.0
2022-11-11,116537.14,101140.03,0,0,-0.002664705805356804,-0.005038501316338984,116537.14,0.0,0.0,0.16537139142803528,0.011400272034564405,8595.81,0.0
2022-11-14,116537.14,101128.61,0,0,-0.001485970766593158,-0.006039670313816137,116537.14,0.0,0.0,0.16537139142803528,0.011286139886009041,8594.84,0.0
2022-11-15,116537.14,101248.51,-1,-1,-0.011399353162840036,-0.002725150290004863,0.0,116420.6,0.0,0.16537139142803528,0.012485115755884325,8605.03,0.0
2022-11-16,114490.53,100712.09,-1,-1,-0.011057617153529754,0.017579421083622204,0.0,114374.0,-2046.61,0.14490532357372388,0.007120904773783113,8559.44,0.0
2022-11-17,112712.01,101437.71,0,0,-0.0023892564766186696,0.013544659562399586,112712.01,0.0,-1549.16,0.12712013551816942,0.014377120857709088,8621.11,1.0
2022-11-18,112712.01,100630.43,0,0,-0.004225492906456065,0.03478398129201987,112712.01,0.0,0.0,0.12712013551816942,0.006304330432572606,8552.5,1.0
2022-11-21,112712.01,100517.83,-1,-1,-0.008693448862840554,0.041982083430392114,0.0,112599.3,0.0,0.12712013551816942,0.005178305008165771,8542.93,1.0
2022-11-22,109914.67,100972.59,0,0,-0.004883109297251582,0.022865253251732165,109914.67,0.0,-2574.61,0.09914665302631911,0.009725941649056621,8581.58,2.0
2022-11-23,109914.67,102482.55,0,0,-0.004526203275563745,0.013473158735279656,109914.67,0.0,0.0,0.09914665302631911,0.02482550724091998,8709.91,2.0
2022-11-24,109914.67,102811.65,0,0,-0.003958662208184175,0.0035191602539745848,109914.67,0.0,0.0,0.09914665302631911,0.02811651362761375,8737.88,2.0
2022-11-25,109914.67,104130.76,-1,-1,-0.005583203073051641,-0.0031457662664026165,0.0,109804.75,0.0,0.09914665302631911,0.041307601436417755,8849.99,2.0
2022-11-28,110570.66,104737.78,-1,-1,-0.007759135404840719,-0.005974220306956823,0.0,110460.75,656.0,0.10570663073689779,0.04737778447143879,8901.58,2.0
2022-11-29,108854.19,103281.36,-1,-1,-0.005530101243728342,0.015539201166579586,0.0,108744.28,-1716.47,0.08854191283160907,0.03281358101970604,8777.8,2.0
2022-11-30,107459.29,103863.31,-1,-1,-0.005360359890073753,0.012827309946687793,0.0,107349.38,-1394.9,0.07459294742055281,0.038633143975940476,8827.26,2.0
2022-12-01,105430.36,103173.46,-1,-1,-0.006707558264296835,0.01890032992611168,0.0,105320.44,-2028.94,0.05430356041241102,0.0317346203988271,8768.63,2.0
2022-12-02,102679.6,103803.19,0,0,-0.004884699078272364,0.024098434055190632,102679.6,0.0,-2538.06,0.026796012811120744,0.03803189111087049,8822.15,3.0
2022-12-05,102679.6,104112.05,-1,-1,-0.007419340120594007,0.005284571221915835,10267.96,92319.23,0.0,0.026796012811120744,0.04112051884239409,8848.4,3.0
2022-12-06,104308.56,104886.27,-1,-1,-0.006595466390310778,-0.017644881200780893,10267.96,93948.19,1628.96,0.04308563118396254,0.048862679022746595,8914.2,3.0
2022-12-07,106882.25,105195.6,0,0,-0.0012807050313326021,-0.029407784137111093,106882.25,0.0,2762.81,0.06882248609030153,0.0519560132346228,8940.49,0.0
2022-12-08,106882.25,105123.47,-1,-1,-0.006385100249672447,-0.031756051916421724,0.0,106775.37,0.0,0.06882248609030153,0.05123474512055662,8934.36,0.0
2022-12-09,110456.34,106304.68,-1,-1,-0.009290530039448356,-0.03347297932980986,0.0,110349.46,3574.09,0.104563382401454,0.06304683418599073,9034.75,0.0
2022-12-12,112429.44,104662.24,-1,-1,-0.008270607873756301,-0.017880510299983277,0.0,112322.56,1973.1,0.12429442824599624,0.04662239437481476,8895.16,0.0
2022-12-13,113291.48,103035.56,0,0,0.0013500578841832852,-0.00963581902748789,113291.48,0.0,1082.32,0.13291475561962476,0.03035562165545736,8756.91,0.0
2022-12-14,113291.48,102102.03,-1,-1,-0.008975205209564617,0.009067054486451953,0.0,113178.18,0.0,0.13291475561962476,0.021020317875682957,8677.57,0.0
2022-12-15,112892.35,101785.17,0,0,-0.0039319156477653685,0.0015270546456680467,112892.35,0.0,-172.83,0.128923494597885,0.017851679978161845,8650.64,1.0
2022-12-16,112892.35,102746.35,0,0,-0.004151761929309241,0.0009928621570645113,112892.35,0.0,0.0,0.128923494597885,0.027463489478663252,8732.33,1.0
2022-12-19,112892.35,102790.83,-1,-1,-0.006214761326612002,0.013237012812338689,0.0,112779.46,0.0,0.128923494597885,0.027908251872002583,8736.11,1.0
2022-12-20,108624.07,102042.73,0,0,-0.002808369954758037,0.03588110966465363,108624.07,0.0,-4046.65,0.08624072236791079,0.020427301351230564,8672.53,2.0
2022-12-21,108624.07,103027.8,0,0,-0.003912847784077631,0.018977301927194823,108624.07,0.0,0.0,0.08624072236791079,0.030277964729636297,8756.25,2.0
2022-12-22,108624.07,101940.6,0,0,-0.00014794005548548453,0.03271524784016355,108624.07,0.0,0.0,0.08624072236791079,0.019405995114673422,8663.85,2.0
2022-12-23,108624.07,102848.36,0,0,-0.001607531487652243,0.030666971742363547,108624.07,0.0,0.0,0.08624072236791079,0.02848361909513216,8741.0,2.0
2022-12-26,108624.07,104151.47,1,1,0.007780537771016229,0.019090010449910988,0.0,108515.45,0.0,0.08624072236791079,0.04151468657194098,8851.75,2.0
2022-12-27,109147.94,105704.14,1,1,0.013064467194697258,0.004827626893566306,0.0,109039.32,523.87,0.09147944332717685,0.05704136525582071,8983.71,2.0
2022-12-28,110127.57,104982.99,1,1,0.009059298203271986,0.008984109692213638,0.0,110018.94,979.62,0.1012756554670226,0.04982986073524633,8922.42,2.0
2022-12-29,112375.46,105275.61,1,1,0.01497561786874272,0.02043188496181525,0.0,112266.84,2247.89,0.12375459902529226,0.05275611489459843,8947.29,2.0
2022-12-30,112335.58,106002.41,1,1,0.006986737069957651,-0.00035519798957928117,0.0,112226.96,-39.88,0.12335582948145879,0.06002409717940624,9009.06,2.0
2023-01-02,111816.42,106139.72,1,1,0.005840592839179164,-0.004626011420361675,0.0,111707.8,-519.16,0.11816419754713468,0.061397212822334984,9020.73,2.0
2023-01-03,112537.11,106214.44,0,0,0.0037473469154656602,0.008432405606242588,112537.11,0.0,941.97,0.12537111363925535,0.06214436657834172,9027.08,0.0
2023-01-04,112537.11,105926.16,1,1,0.00598326962412539,-0.0015873227452574135,0.0,112424.57,0.0,0.12537111363925535,0.05926164736225313,9002.58,0.0
2023-01-05,111244.4,107426.59,0,0,0.004892708475115206,-0.009507015257226192,111244.4,0.0,-1068.82,0.11244396357745486,0.07426590672697246,9130.1,1.0
