entry_date,exit_date,direction,entry_price,exit_price,position_size,pnl,return,holding_period,prediction,actual
2022-08-23,2022-08-24,1,8500.25,8508.39,98314.09561620942,-1659.04237615828,-0.01587491875666247,2,0.00462012753137233,-0.01587491875666247
2022-08-26,2022-08-30,1,8419.44,8392.07,97591.52984504418,-77.82219990182107,0.0002025721901748323,3,0.004221801848520036,0.0002025721901748323
2022-09-01,2022-09-07,1,8380.49,8278.79,87362.50079151486,-2019.1157394767408,-0.022111926984499153,5,0.004388541028340233,-0.022111926984499153
2022-09-12,2022-09-13,1,8118.16,8150.39,87030.504612906,-244.10504004689847,-0.001804821609763474,2,0.002447272676963294,-0.001804821609763474
2022-09-28,2022-10-03,1,8226.59,8555.58,95325.02859469922,686.276073366612,0.008199327222701447,4,0.002108810273487448,0.008199327222701447
2022-10-04,2022-10-05,1,8563.75,8575.04,96020.35751298479,798.1125616817693,0.009311909915288963,2,0.001303825600309391,0.009311909915288963
2022-10-07,2022-10-17,-1,8659.54,8541.11,105099.12170616644,2259.6929497565757,0.022500588331024973,7,-0.0025475168714948525,-0.022500588331024973
2022-10-19,2022-10-20,1,8497.55,8451.69,102490.34244815898,-2446.321385515315,-0.022868799021260933,2,-0.006642867569882827,-0.022868799021260933
2022-10-20,2022-10-21,-1,8451.69,8420.39,104662.58009975807,2327.69747682415,0.02324001619877447,2,-0.0033375679076266184,-0.02324001619877447
2022-10-26,2022-10-27,1,8193.48,8258.41,106268.61776564701,1740.536278301,0.017378647947970727,2,0.004995236497114238,0.017378647947970727
2022-10-31,2022-11-03,1,8260.94,8401.93,115378.67538838707,2401.221207219039,0.021811655179226674,4,0.00265966692170516,0.021811655179226674
2022-11-04,2022-11-08,1,8564.66,8592.5,116653.79293573927,53.45642242474004,0.001458248472505197,3,-0.0014893655680915355,0.001458248472505197
2022-11-15,2022-11-17,-1,8605.03,8621.11,112824.83839020715,-1640.9988645683143,-0.013544659562399586,3,-0.0023892564766186696,0.013544659562399586
2022-11-21,2022-11-22,-1,8542.93,8581.58,110024.68999262454,-2625.767090617306,-0.022865253251732165,2,-0.004883109297251582,0.022865253251732165
