entry_date,exit_date,direction,entry_price,exit_price,position_size,pnl,return,holding_period,prediction,actual
2023-02-01,2023-02-02,1,3347.85,3365.68,96598.1605381379,1626.408931323196,0.017636851988305446,2,0.004879794834792035,0.017636851988305446
2023-06-02,2023-06-05,1,3380.44,3378.68,95295.52925501394,-1136.4608142004022,-0.011125646702262348,2,0.003564434762769959,-0.011125646702262348
2023-07-13,2023-07-14,-1,3313.6,3299.24,95007.83322240222,-272.1130500324745,-0.0020641117348239035,2,-0.00249707913665256,0.0020641117348239035
2023-09-11,2023-09-12,1,3465.71,3492.17,94985.2345370132,36.07370119381524,0.0011797821984611545,2,0.0032871348358038998,0.0011797821984611545
2023-09-13,2023-09-19,1,3477.03,3496.29,98769.5258053779,867.3529913644717,0.009581585051583241,5,0.003909106000738625,0.009581585051583241
2023-09-25,2023-09-28,1,3522.57,3535.76,100693.79183599741,129.33286781164077,0.002084417494400137,4,0.00594877661096455,0.002084417494400137
2023-09-29,2023-10-02,1,3544.1,3565.6,100636.79822059747,129.479841982536,0.002086605339914671,2,0.004785724124078714,0.002086605339914671
2023-10-05,2023-10-06,1,3543.13,3549.83,100795.51026919694,242.49256045735007,0.0032057873193926945,2,0.0037803769592137096,0.0032057873193926945
2023-10-12,2023-10-13,1,3562.43,3561.21,97996.17057761947,-2639.7408497288857,-0.026137183710031153,2,0.0059209804297781325,-0.026137183710031153
2023-10-16,2023-10-18,1,3550.11,3512.2,93567.50971070079,-1852.055924743914,-0.018993793064176256,3,0.0001522000414756335,-0.018993793064176256
2023-11-15,2023-11-23,1,3503.43,3512.87,93193.28344321446,-206.40425930936408,-0.001414797587158012,7,0.00569344657329075,-0.001414797587158012
2023-11-24,2023-11-29,1,3499.85,3499.63,84250.66947825244,179.60039561494705,0.0029317384980698247,4,0.004827403319202114,0.0029317384980698247
2024-01-03,2024-01-05,1,3327.6,3708.84,101348.65127628465,3079.473976007448,0.031184952707585145,3,0.0032224935808295727,0.031184952707585145
2024-01-08,2024-01-09,1,3772.85,3810.28,99645.71401138452,-1218.3663260973929,-0.011426981744123932,2,0.005424256095763248,-0.011426981744123932
2024-02-02,2024-02-06,1,3877.54,3946.98,95866.2656692177,-2123.000032746165,-0.021345433724011764,3,0.002583219599816746,-0.021345433724011764
2024-02-12,2024-02-13,1,3892.0,3862.73,96701.37991617399,725.7445409635004,0.008305007080484428,2,0.0035226194234492672,0.008305007080484428
2024-05-16,2024-05-17,1,4021.05,4021.92,94706.92256695066,-1849.6129733502364,-0.018729860365198747,2,-0.0005622364248445128,-0.018729860365198747
2024-06-26,2024-06-28,1,3984.72,3957.27,93505.63895610798,-466.57042400183013,-0.004189757080007128,3,0.003923810391627402,-0.004189757080007128
2024-07-12,2024-07-15,1,3981.27,4037.44,93281.89248045377,-213.48186201864442,-0.0014885670127605666,2,-0.0004899982422863859,-0.0014885670127605666
2024-09-10,2024-09-12,-1,4316.78,4205.33,83983.11685828073,-248.32016668340185,-0.002156786744440975,3,-0.00539954288142281,0.002156786744440975
2024-12-11,2024-12-12,1,4537.78,4532.73,74424.75393328285,-164.78822357147365,-0.0014141587961338242,2,-0.001141742793543054,-0.0014141587961338242
